annee,dommages_Mrd_USD
1909,0.0
1910,0.0
1926,0.0
1930,0.0
1932,0.0
1940,0.0
1949,0.0
1958,0.0
1961,0.0
1967,0.188072
1969,0.0
1970,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,1.137732
1983,1.919612
1984,0.0
1985,0.0
1986,0.0
1987,4.693255
1988,1.326287
1989,4.048687
1990,4.585593
1991,1.77814
1992,0.894231
1993,2.497206
1994,0.211631
1995,1.440986
1996,0.01202
1997,0.019542
1998,0.288656
1999,23.559935
2000,0.0
2001,0.234469
2002,2.077017
2003,10.060867
2004,0.0
2005,0.016063
2006,0.0
2007,0.378226
2008,0.116557
2009,4.678934
2010,8.243028
2011,0.0
2012,0.0
2013,0.881992
2014,0.642652
2015,1.222902
2016,3.136795
2017,0.703856
2018,1.139294
2019,0.509201
2020,1.236278
2021,6.521061
2022,0.0
2023,2.197972
2024,0.0
2025,0.0
2026,0.0
