annee,empreinte_tCO2_hab
1990,12.10344827586207
1991,12.068669527896995
1992,11.846153846153847
1993,10.995744680851065
1994,10.864406779661017
1995,11.139240506329115
1996,11.243697478991596
1997,10.661087866108787
1998,11.7
1999,11.5850622406639
2000,11.438016528925619
2001,11.49236578558529
2002,11.464448793215917
2003,11.971488741292728
2004,12.375281622143547
2005,12.501998401278977
2006,12.563532401524778
2007,12.734732523275998
2008,12.793979303857009
2009,11.652905436983954
2010,11.594427244582045
2011,11.405672009864366
2012,10.942295887047269
2013,10.77322738386308
2014,10.194765672550213
2015,9.818181818181818
2016,9.776704888352445
2017,9.85576923076923
2018,9.784560143626571
2019,9.490464839094159
2020,8.620178041543026
2021,9.164818920916481
2022,9.14580265095729
2023,8.554658840792369
2024,8.230994152046783
