annee,jours_chauds_30,jours_gel
1950,27.102564102564102,9.0
1951,10.525,1.1
1952,25.377777777777776,4.977777777777778
1953,15.2,8.133333333333333
1954,9.488372093023257,10.69767441860465
1955,11.195652173913043,3.4130434782608696
1956,5.869565217391305,15.717391304347826
1957,13.020833333333334,3.8333333333333335
1958,8.297872340425531,2.8297872340425534
1959,20.964912280701753,1.8596491228070176
1960,7.370967741935484,6.935483870967742
1961,21.39344262295082,4.065573770491803
1962,16.575342465753426,8.547945205479452
1963,8.473684210526315,21.026315789473685
1964,19.7875,7.3
1965,9.341463414634147,2.6951219512195124
1966,10.417582417582418,5.241758241758242
1967,17.541666666666668,6.052083333333333
1968,7.9787234042553195,6.202127659574468
1969,12.728260869565217,9.391304347826088
1970,12.709677419354838,7.043010752688172
1971,16.033333333333335,6.0777777777777775
1972,7.543478260869565,4.184782608695652
1973,21.189473684210526,4.189473684210526
1974,14.287234042553191,0.24468085106382978
1975,17.78,2.23
1976,25.823529411764707,4.372549019607843
1977,3.78,1.84
1978,8.256880733944953,5.1192660550458715
1979,11.934579439252337,6.785046728971962
1980,8.761904761904763,6.752380952380952
1981,13.280373831775702,3.6448598130841123
1982,18.513761467889907,4.055045871559633
1983,22.882882882882882,4.513513513513513
1984,12.68503937007874,1.6771653543307086
1985,15.822222222222223,16.785185185185185
1986,15.75,7.635135135135135
1987,17.774834437086092,14.562913907284768
1988,12.337662337662337,1.87012987012987
1989,20.897435897435898,4.205128205128205
1990,22.51497005988024,2.55688622754491
1991,23.767857142857142,7.714285714285714
1992,18.66470588235294,4.658823529411765
1993,14.282608695652174,6.070652173913044
1994,27.53475935828877,1.7486631016042782
1995,26.677248677248677,3.9894179894179893
1996,16.489583333333332,8.276041666666666
1997,21.29230769230769,5.835897435897436
1998,23.394736842105264,3.9789473684210526
1999,23.137931034482758,2.925287356321839
2000,21.367816091954023,1.5114942528735633
2001,25.906976744186046,3.866279069767442
2002,18.708333333333332,2.2857142857142856
2003,48.24260355029586,5.153846153846154
2004,24.426900584795323,2.7251461988304095
2005,29.403508771929825,6.356725146198831
2006,33.78313253012048,5.831325301204819
2007,12.73913043478261,4.0186335403726705
2008,14.844155844155845,1.5389610389610389
2009,25.283783783783782,6.70945945945946
2010,20.928057553956833,13.474820143884893
2011,18.345588235294116,3.1911764705882355
2012,22.637037037037036,8.881481481481481
2013,23.068181818181817,6.0
2014,12.73015873015873,0.7698412698412699
2015,30.764705882352942,1.4873949579831933
2016,27.19298245614035,2.192982456140351
2017,31.01801801801802,4.4324324324324325
2018,34.01801801801802,3.3423423423423424
2019,35.675438596491226,1.5701754385964912
2020,31.208333333333332,0.7083333333333334
2021,18.446428571428573,3.6517857142857144
2022,46.638888888888886,2.9537037037037037
2023,37.05607476635514,1.5700934579439252
2024,25.35514018691589,3.0654205607476634
2025,37.242990654205606,2.196261682242991
2026,0.0,1.485981308411215
